[2023-11-07 22:44:22,346: INFO : __init__ : HELLO]
[2023-11-07 22:53:40,378: INFO : common : yaml file: config\config.yaml loaded successfully]
[2023-11-07 22:55:09,057: INFO : common : yaml file: config\config.yaml loaded successfully]
[2023-11-07 22:55:09,061: INFO : common : yaml file: params.yaml loaded successfully]
[2023-11-07 22:58:14,530: INFO : common : yaml file: config\config.yaml loaded successfully]
[2023-11-07 22:58:14,532: INFO : common : yaml file: params.yaml loaded successfully]
[2023-11-07 23:00:55,618: INFO : common : yaml file: config\config.yaml loaded successfully]
[2023-11-07 23:00:55,622: INFO : common : yaml file: params.yaml loaded successfully]
[2023-11-07 23:02:18,171: INFO : common : yaml file: \deletable\apps\CoTProject\code\mlops\config\config.yaml loaded successfully]
[2023-11-07 23:02:18,174: INFO : common : yaml file: \deletable\apps\CoTProject\code\mlops\params.yaml loaded successfully]
[2023-11-07 23:03:04,404: INFO : common : yaml file: \deletable\apps\CoTProject\code\mlops\config\config.yaml loaded successfully]
[2023-11-07 23:03:04,408: INFO : common : yaml file: \deletable\apps\CoTProject\code\mlops\params.yaml loaded successfully]
[2023-11-07 23:03:04,410: INFO : common : created directory at: artifacts]
[2023-11-07 23:03:04,412: INFO : common : created directory at: artifacts/data_ingestion]
[2023-11-07 23:03:04,414: INFO : 3172177572 : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-07 23:05:06,219: INFO : 3172177572 : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-07 23:07:45,336: INFO : __init__ : HELLO]
[2023-11-07 23:08:48,226: INFO : common : yaml file: \deletable\apps\CoTProject\code\mlops\config\config.yaml loaded successfully]
[2023-11-07 23:08:48,229: INFO : common : yaml file: \deletable\apps\CoTProject\code\mlops\params.yaml loaded successfully]
[2023-11-07 23:08:48,232: INFO : common : created directory at: artifacts]
[2023-11-07 23:08:48,235: INFO : common : created directory at: artifacts/data_ingestion]
[2023-11-07 23:08:48,237: INFO : 3172177572 : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-07 23:10:50,065: INFO : 3172177572 : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
